排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1646562,8400,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1460659,6243,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1407135,9638,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1263025,32631,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
5,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1056720,8405,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
6,《阿东修仙传》第一集,Ai-阿东同学,991358,3856,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
7,《贪吃姐弟》擂台大比！,爱神漫剧馆,930735,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
8,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,886153,3691,1661,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
9,全宗门都在偷听我这个杂役的心声,黔佳漫剧,655438,2377,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
10,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591897,44766,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
11,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,571466,2891,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
12,《修仙之从零开始》,史太郎呼呼,569476,3461,49,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
13,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,523384,3079,1,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
14,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516953,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
15,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,427903,2913,2,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
16,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,404650,3166,152,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
17,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,390037,1752,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
18,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,386144,23059,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
19,【AI漫剧】[仙眠录-我的血能炼化万物-01]【UP动画】,雨札,385560,16399,75,https://www.bilibili.com/video/BV1ghNGzEE5B,AI漫剧 修仙
20,《一笼镇乾坤》大结局|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,358981,1979,5,https://www.bilibili.com/video/BV1Aa7Z6EEFP,AI漫剧 修仙
21,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,353763,21183,761,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
22,《断剑铸长生》大结局|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,353289,2273,7,https://www.bilibili.com/video/BV1ihEv6CEqz,AI漫剧 修仙
23,一言覆星河,波波不关灯,353137,738,0,https://www.bilibili.com/video/BV16Kj26kE9Q,AI漫剧 修仙
24,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277334,7572,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
25,AI漫剧被上传到海外，搞得洋冬瓜疯狂上头走不动道! #国漫 #凡人修仙传 #一斩苍穹定档0728 #万妖图录传 #AI漫剧,啊哦呃西,224484,3952,51,https://www.bilibili.com/video/BV18DNX62EBg,AI动画 玄幻
26,请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,216987,15324,409,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
27,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,213704,9157,293,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
28,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196818,26955,767,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
29,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,187635,5813,186,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 玄幻
30,有ai就是不用心？中肯评价牧神记！【国动万象】,碎辰_,172585,1525,488,https://www.bilibili.com/video/BV1SPS1YrEnc,AI动画 玄幻
