排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3621603,166840,1708,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1767963,9541,16,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1428517,5939,4,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
4,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421635,8430,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
5,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1415708,9037,3,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
6,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1413393,7163,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
7,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1330592,9476,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
8,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954299,5731,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
9,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,851369,6993,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
10,《阿东修仙传》第一集,Ai-阿东同学,828093,3388,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
11,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,712770,9176,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
