排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1538492,7797,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1440692,6205,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1337454,9588,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1235536,32510,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
5,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,931997,7497,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
6,《贪吃姐弟》擂台大比！,爱神漫剧馆,930691,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
7,《阿东修仙传》第一集,Ai-阿东同学,917096,3594,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
8,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,860121,3566,1612,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
9,全宗门都在偷听我这个杂役的心声,黔佳漫剧,603158,2195,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
10,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591268,44765,445,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
11,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,569173,3879,178,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
12,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,569110,2876,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
13,《修仙之从零开始》,史太郎呼呼,547550,3365,47,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
14,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516740,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
15,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,487609,2890,1,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
16,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,401964,2736,2,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
17,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,388671,1745,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
18,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,385474,23051,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
19,【AI漫剧】[仙眠录-我的血能炼化万物-01]【UP动画】,雨札,373700,15940,72,https://www.bilibili.com/video/BV1ghNGzEE5B,AI漫剧 修仙
20,《一笼镇乾坤》大结局|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,354880,1963,4,https://www.bilibili.com/video/BV1Aa7Z6EEFP,AI漫剧 修仙
21,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,347026,20877,748,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
22,《一笼镇乾坤》第二集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,338345,3242,6,https://www.bilibili.com/video/BV1qhVm6eEi8,AI漫剧 修仙
23,《断剑铸长生》大结局|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,325108,2099,7,https://www.bilibili.com/video/BV1ihEv6CEqz,AI漫剧 修仙
24,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,318787,2785,152,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
25,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277235,7571,120,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
26,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,212799,9138,293,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
27,修仙者VS大巫师,仙尊本尊AI,200376,8027,340,https://www.bilibili.com/video/BV1bT6aBuEXg,AI动画 玄幻
28,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196811,26955,767,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
29,AI漫剧被上传到海外，搞得洋冬瓜疯狂上头走不动道! #国漫 #凡人修仙传 #一斩苍穹定档0728 #万妖图录传 #AI漫剧,啊哦呃西,194861,3447,46,https://www.bilibili.com/video/BV18DNX62EBg,AI动画 玄幻
30,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,185969,5797,184,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 玄幻
