排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3647588,167537,1720,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,2208070,10115,26,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1867703,9241,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1499180,6304,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
5,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1475700,9704,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
6,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1450069,9234,13,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
7,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421855,8427,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
8,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1220111,9238,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
9,《阿东修仙传》第一集,Ai-阿东同学,1001328,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
10,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954692,5732,106,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
11,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,874242,10465,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
12,全宗门都在偷听我这个杂役的心声,黔佳漫剧,780060,2808,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
13,《修仙之从零开始》,史太郎呼呼,618157,3686,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
14,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,583120,3322,2,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
15,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,575414,2909,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
