排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3648532,167540,1720,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,2219349,10137,28,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1882317,9298,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,【绯红回响EP13】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1828203,62271,1966,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
5,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1500533,6303,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
6,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1477688,9708,15,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
7,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1453141,9251,20,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
8,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421882,8426,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
9,【绯红乱世】胆小的千万别点进来，否则……,赤鸢与白狐,1290315,32777,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
10,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1231075,9277,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
11,《阿东修仙传》第一集,Ai-阿东同学,1001406,3888,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
12,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954744,5732,106,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
13,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,945738,3960,1787,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
14,《贪吃姐弟》擂台大比！,爱神漫剧馆,930835,1548,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
15,【一口气看完】《娘亲她无敌了》| 隐退万年仙尊再出世，为娇夫萌娃横扫三界，谁敢伤我家人,发发动画,886070,372,0,https://www.bilibili.com/video/BV1PKtC6KEge,AI漫剧 修仙
16,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,874425,10463,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
17,全宗门都在偷听我这个杂役的心声,黔佳漫剧,783040,2816,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
18,【科学修仙】被法宝寄生后如何科学修仙...【UP动画】第二集,么鸣堂,681300,28878,1061,https://www.bilibili.com/video/BV1rT5e6iEB3,AI漫剧 修仙
19,《修仙之从零开始》,史太郎呼呼,618958,3685,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
20,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593875,44785,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
21,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,574593,3935,187,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
22,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,517469,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
23,【绯红回响EP08】强敌出现丨小道长遇险【费那奇动画周×updream-AI动画征集】【UP动画】,赤鸢与白狐,436347,14900,661,https://www.bilibili.com/video/BV1EmKG6nETV,AI动画 玄幻
24,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,394660,1769,494,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
25,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,388478,23079,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
26,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,367742,21642,783,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
27,【绯红回响EP12】朱雀出现，但大人时代变了【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,366044,20653,425,https://www.bilibili.com/video/BV16qu76VEBF,AI动画 玄幻
28,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277744,7575,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
29,【绯红回响EP11】请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,242657,15933,411,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
30,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,241836,15219,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 玄幻
