排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3633504,167103,1712,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1793411,9711,22,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1557957,7944,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1442731,6213,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
5,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1425758,9106,6,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
6,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421711,8429,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
7,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1351843,9598,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
8,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1239621,32525,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
9,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954461,5732,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
10,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,947764,7616,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
11,《阿东修仙传》第一集,Ai-阿东同学,932901,3663,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
12,《贪吃姐弟》擂台大比！,爱神漫剧馆,930699,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
13,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,864935,3588,1629,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
14,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,822532,10116,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
15,全宗门都在偷听我这个杂役的心声,黔佳漫剧,612268,2234,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
16,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591356,44764,445,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
17,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,569496,2880,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
18,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,569455,3880,179,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
19,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,569455,3880,179,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
20,《一剑护苍生》第三集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,555599,4157,12,https://www.bilibili.com/video/BV1T2V36mEGW,AI漫剧 修仙
