排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3647767,167537,1720,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《一剑护苍生》第一集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,2208900,10118,26,https://www.bilibili.com/video/BV1MnVh6MEuY,AI漫剧 修仙
3,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1868358,9244,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
4,【绯红回响EP13】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1826518,62232,1943,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
5,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1499320,6304,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
6,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1475888,9704,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
7,《一剑护苍生》第二集|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,1450445,9236,16,https://www.bilibili.com/video/BV1MnVh6TEcW,AI漫剧 修仙
8,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421860,8427,49,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
9,胆小的千万别点进来，否则……,赤鸢与白狐,1289658,32752,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
10,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1241521,8517,23,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
11,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1220646,9239,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
12,《阿东修仙传》第一集,Ai-阿东同学,1001334,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
13,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954704,5732,106,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
14,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,931965,3904,1773,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
15,《贪吃姐弟》擂台大比！,爱神漫剧馆,930813,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
16,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,874255,10465,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
17,全宗门都在偷听我这个杂役的心声,黔佳漫剧,780459,2813,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
18,《修仙之从零开始》,史太郎呼呼,618250,3686,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
19,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593381,44781,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
20,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,583328,3322,2,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
21,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,575436,2909,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
22,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,573554,3916,184,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
23,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,517451,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
24,【绯红回响EP08】强敌出现丨小道长遇险【费那奇动画周×updream-AI动画征集】【UP动画】,赤鸢与白狐,430601,14839,641,https://www.bilibili.com/video/BV1EmKG6nETV,AI动画 玄幻
25,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,393602,1768,494,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
26,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,387912,23078,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
27,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,365347,21584,782,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
28,【绯红回响EP12】朱雀出现，但大人时代变了【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,363565,20577,403,https://www.bilibili.com/video/BV16qu76VEBF,AI动画 玄幻
29,全能Ai 仙侠副本02,只只说动漫,335890,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
30,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277703,7575,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
31,AI修仙｜“天上白玉京”,纠结的柠檬君,247867,7510,240,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
32,【绯红回响EP11】请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,241096,15842,411,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
33,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,237929,15170,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 玄幻
34,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,237929,15170,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
35,全能Ai 仙侠副本20,只只说动漫,201963,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
36,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,191954,5870,191,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
37,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103517,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
38,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,89507,8446,40,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
39,神坛之下05｜万法有价，生死无门.,阿墩的AI小剧场,82060,2473,145,https://www.bilibili.com/video/BV1fFTq6pEoh,AI动画 仙侠
40,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71976,3518,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
41,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,68722,4386,612,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
42,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,67084,2807,148,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
43,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,66498,699,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
44,这家伙 究竟何方神圣,夏雪为萤,64531,2127,191,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
45,【完整修订版】《堕入魔道后圈养师尊》原创仙侠，一口气看完，调整了背景音乐问题，增加了故事情节。,南晚__原创漫剧,60245,2425,368,https://www.bilibili.com/video/BV1AjLU6DEJi,AI动画 仙侠
