排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1873121,9263,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1499959,6303,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1476660,9706,15,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1224166,9254,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
5,《阿东修仙传》第一集,Ai-阿东同学,1001380,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
6,全宗门都在偷听我这个杂役的心声,黔佳漫剧,782464,2815,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
7,《修仙之从零开始》,史太郎呼呼,618664,3684,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
8,【科学修仙】被法宝寄生后如何科学修仙...【UP动画】ep01,么鸣堂,612420,26742,939,https://www.bilibili.com/video/BV1rT5e6iEB3,AI漫剧 修仙
9,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,584766,3327,2,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
10,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,575514,2909,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
11,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,520860,3612,151,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
12,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,475491,3117,4,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
13,【8小时】开局一个小破鼎，开挂修仙逆天命！！这小破鼎比小破盆还猛！真是修仙大舞台，没挂你别来，一挂更比一挂猛，哈哈哈……,小李看漫剧,434650,11488,4274,https://www.bilibili.com/video/BV1HL826CEjg,AI漫剧 修仙
14,一言覆星河,波波不关灯,416584,834,0,https://www.bilibili.com/video/BV16Kj26kE9Q,AI漫剧 修仙
15,《断剑铸长生》大结局|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,406766,2520,8,https://www.bilibili.com/video/BV1ihEv6CEqz,AI漫剧 修仙
