排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,【绯红回响EP13】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1827587,62255,1958,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
2,【绯红乱世】胆小的千万别点进来，否则……,赤鸢与白狐,1290079,32766,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
3,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1249847,8538,23,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
4,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,940879,3940,1785,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
5,《贪吃姐弟》擂台大比！,爱神漫剧馆,930825,8160,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
6,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593728,44782,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
7,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,574178,3925,184,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
8,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,517460,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
9,【绯红回响EP08】强敌出现丨小道长遇险【费那奇动画周×updream-AI动画征集】【UP动画】,赤鸢与白狐,435071,14879,655,https://www.bilibili.com/video/BV1EmKG6nETV,AI动画 玄幻
10,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,394217,1769,494,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
11,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,388299,23078,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
12,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,366840,21624,782,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
13,【绯红回响EP12】朱雀出现，但大人时代变了【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,365356,20621,419,https://www.bilibili.com/video/BV16qu76VEBF,AI动画 玄幻
14,全能Ai 仙侠副本02,只只说动漫,335890,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
15,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277721,7575,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
16,AI修仙｜“天上白玉京”,纠结的柠檬君,248359,7514,240,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
17,【绯红回响EP11】请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,242097,15903,411,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
18,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,240446,15197,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 玄幻
19,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,240446,15197,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
20,全能Ai 仙侠副本20,只只说动漫,201963,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
21,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,192640,5876,192,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
22,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103517,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
23,大女主战力天花板！她一拔剑，整座战场瞬间安静了【AI全民制作人】,Sakura-o1,93116,1349,32,https://www.bilibili.com/video/BV1Gubx6PEVd,AI动画 仙侠
24,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,91382,8570,41,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
25,神坛之下05｜万法有价，生死无门.,阿墩的AI小剧场,91039,2685,158,https://www.bilibili.com/video/BV1fFTq6pEoh,AI动画 仙侠
26,《我是修仙世界里的NPC》楔子5,饺子先生NPC,72063,3519,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
27,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,69573,4435,616,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
28,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,67211,2809,148,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
29,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,66959,704,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
30,这家伙 究竟何方神圣,夏雪为萤,64556,2134,192,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
