排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3607407,166569,1696,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,2087816,11151,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
3,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421528,8429,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
4,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1315121,9325,12,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
5,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1123210,5850,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
6,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954088,5728,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
7,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,710318,6229,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
8,《阿东修仙传》第一集,Ai-阿东同学,654031,2993,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
9,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,594146,7869,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
10,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,561306,3790,171,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
11,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,561243,2823,9,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
12,《一剑护苍生》大结局|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,524433,4078,6,https://www.bilibili.com/video/BV1T2V36mEAY,AI漫剧 修仙
13,《修仙之从零开始》,史太郎呼呼,457169,2975,46,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
14,《收徒仙》第二集|小徒弟刚学会扎马步，我脚下竟生出神行百变的风度,阿林动漫_,447121,5521,7,https://www.bilibili.com/video/BV1qkVJ6pEwj,AI漫剧 修仙
15,全宗门都在偷听我这个杂役的心声,黔佳漫剧,414182,1480,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
