排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1624274,8297,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1455837,6238,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1390587,9622,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1255971,32600,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
5,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1026629,8214,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
6,《阿东修仙传》第一集,Ai-阿东同学,987147,3838,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
7,《贪吃姐弟》擂台大比！,爱神漫剧馆,930727,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
8,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,880329,3663,1652,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
9,全宗门都在偷听我这个杂役的心声,黔佳漫剧,641483,2332,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
10,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591693,44765,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
11,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,570788,2889,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
12,《修仙之从零开始》,史太郎呼呼,566370,3439,48,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
13,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516903,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
14,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,515238,3040,1,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
15,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,422123,2880,2,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
16,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,396350,3116,152,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
17,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,389740,1752,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
18,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,385919,23056,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
19,【AI漫剧】[仙眠录-我的血能炼化万物-01]【UP动画】,雨札,382719,16270,74,https://www.bilibili.com/video/BV1ghNGzEE5B,AI漫剧 修仙
20,《一笼镇乾坤》大结局|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,357804,1977,5,https://www.bilibili.com/video/BV1Aa7Z6EEFP,AI漫剧 修仙
