排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3609966,166621,1696,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,2643019,13029,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
3,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421537,8429,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
4,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1318409,9357,12,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
5,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1144519,5940,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
6,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954119,5728,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
7,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,724539,6313,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
8,《阿东修仙传》第一集,Ai-阿东同学,664869,3047,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
9,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,608884,8084,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
10,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,562449,2836,9,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
11,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,562360,3794,171,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
