排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1249076,8535,23,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
2,全能Ai 仙侠副本02,只只说动漫,335890,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
3,AI修仙｜“天上白玉京”,纠结的柠檬君,248299,7513,240,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
4,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,240118,15191,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
5,全能Ai 仙侠副本20,只只说动漫,201963,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
6,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,192554,5876,192,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
7,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103517,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
8,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,91162,8542,41,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
9,大女主战力天花板！她一拔剑，整座战场瞬间安静了【AI全民制作人】,Sakura-o1,89517,1275,32,https://www.bilibili.com/video/BV1Gubx6PEVd,AI动画 仙侠
10,神坛之下05｜万法有价，生死无门.,阿墩的AI小剧场,88148,2617,157,https://www.bilibili.com/video/BV1fFTq6pEoh,AI动画 仙侠
11,《我是修仙世界里的NPC》楔子5,饺子先生NPC,72052,3519,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
12,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,69464,4430,616,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
13,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,67193,2808,148,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
14,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,66914,704,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
15,这家伙 究竟何方神圣,夏雪为萤,64553,2134,192,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
