排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,【绯红回响EP13】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1826862,62233,1946,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
2,【绯红乱世】胆小的千万别点进来，否则……,赤鸢与白狐,1289771,32756,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
3,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,935454,3917,1782,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
4,《贪吃姐弟》擂台大比！,爱神漫剧馆,930817,8161,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
5,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593503,44781,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
6,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,573768,3918,184,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
7,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,517458,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
8,【绯红回响EP08】强敌出现丨小道长遇险【费那奇动画周×updream-AI动画征集】【UP动画】,赤鸢与白狐,431810,14843,645,https://www.bilibili.com/video/BV1EmKG6nETV,AI动画 玄幻
9,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,393795,1768,494,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
10,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,388038,23078,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
11,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,365965,21597,782,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
12,【绯红回响EP12】朱雀出现，但大人时代变了【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,363905,20585,406,https://www.bilibili.com/video/BV16qu76VEBF,AI动画 玄幻
13,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277706,7575,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
14,【绯红回响EP11】请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,241348,15852,411,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
15,【绯红回响EP10】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,239159,15176,375,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 玄幻
