排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3615044,166730,1705,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,3207205,14798,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
3,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421571,8429,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
4,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1322926,9416,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
5,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1214260,6290,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
6,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,969842,4508,3,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
7,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954173,5728,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
8,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,759181,6513,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
9,《阿东修仙传》第一集,Ai-阿东同学,723263,3195,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
10,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,634664,8398,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
11,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,564096,2846,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
12,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,564069,3814,173,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
13,《一剑护苍生》大结局|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,531588,4158,9,https://www.bilibili.com/video/BV1T2V36mEAY,AI漫剧 修仙
14,《修仙之从零开始》,史太郎呼呼,467280,3025,46,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
15,《收徒仙》第二集|小徒弟刚学会扎马步，我脚下竟生出神行百变的风度,阿林动漫_,450655,5551,7,https://www.bilibili.com/video/BV1qkVJ6pEwj,AI漫剧 修仙
16,全能Ai 仙侠副本02,只只说动漫,335888,1081,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
17,AI修仙｜“天上白玉京”,纠结的柠檬君,232813,7330,232,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
18,全能Ai 仙侠副本20,只只说动漫,201960,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
19,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,183060,5769,181,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
20,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103514,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
21,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,61551,674,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
22,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,60692,2691,141,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
23,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,56953,3583,526,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
24,凡人修仙传 自制ai动画 青元子自传,梦境旅行社,53552,2249,23,https://www.bilibili.com/video/BV1bddRYJEnB,AI动画 仙侠
25,自制AI动画 凡人修仙传 莫简离 灵界人族唯一大乘,梦境旅行社,52523,2161,12,https://www.bilibili.com/video/BV1KEu4ztErX,AI动画 仙侠
26,【MBTI群像动画】仙侠篇《云隐录》——第二集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,50324,2193,282,https://www.bilibili.com/video/BV1TU68BYEgg,AI动画 仙侠
27,【一门双至尊】-第二季合集（上）,阿珂不是刺客,45010,1540,235,https://www.bilibili.com/video/BV1KXRXBFEPV,AI动画 仙侠
28,八荒曲：永宁州篇丨第二集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,40727,2772,538,https://www.bilibili.com/video/BV1KtZ4BwEPt,AI动画 仙侠
29,八荒曲：永宁州篇丨第三集丨鬼谷八荒同人动画丨UP一人肝番剧丨啊？这个女魔修是恋爱脑？,L大叔与猫,37614,1919,539,https://www.bilibili.com/video/BV1DLwMzwERN,AI动画 仙侠
30,AI猫咪动画版《蜀山传》致敬经典仙侠玄幻,AI胖橘金钰林,37427,691,45,https://www.bilibili.com/video/BV1hgvWBqEju,AI动画 仙侠
