排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,他们笑我是凡人，直到我掏出了核聚变机甲！【UP动画】,不吃噼里啪啦的小丸子,3616140,166752,1705,https://www.bilibili.com/video/BV1oKAZzLEHm,AI漫剧 修仙
2,《逆骨成魔尊》第一集|我亲手挖掉自己的至尊骨送给妹妹，只为续她一命,阿林动漫_,3428169,15353,1,https://www.bilibili.com/video/BV1ZVJH6rExn,AI漫剧 修仙
3,《逃亡女皇》第一集！女皇逃亡，救助瞎眼剑客！,爱神漫剧馆,2109570,14843,77,https://www.bilibili.com/video/BV1rooQBsEPN,AI动画 玄幻
4,我穿越到了一个落魄家族，成了我爹的绝对靠山,阿林动漫_,1421583,8429,48,https://www.bilibili.com/video/BV1rqRQBnEjJ,AI漫剧 修仙
5,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1324161,9425,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
6,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1256337,6518,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
7,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1101662,31980,1095,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
8,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1093060,4856,3,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
9,我明明是只诡，却生了个人类，还被叫做漂亮娘亲！,二喜喜漫馆,954201,5730,105,https://www.bilibili.com/video/BV1PNdaBvEMp,AI漫剧 修仙
10,《贪吃姐弟》擂台大比！,爱神漫剧馆,923382,1521,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
11,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,817371,3362,1558,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
12,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,774524,6600,0,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
13,《阿东修仙传》第一集,Ai-阿东同学,730667,3205,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
14,“和仙女‘意外邂逅’后，我觉醒了玄品灵根，却不知她就在身边？相伴十五年的清冷师姐，竟是我当年‘邂逅’的那个人？,浩然剧场,647171,8528,47,https://www.bilibili.com/video/BV1YJo1BxE8z,AI漫剧 修仙
15,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,590034,44754,445,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
16,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,564579,3821,173,https://www.bilibili.com/video/BV14hQGB3ETc,AI漫剧 修仙
17,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,564531,2849,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
18,《一剑护苍生》大结局|我明明只要被人打败就能十倍变强，却偏偏穿成了无人敢惹的正道第一剑尊,阿林动漫_,532618,4165,9,https://www.bilibili.com/video/BV1T2V36mEAY,AI漫剧 修仙
19,《我真不是霸王龙啊》03|我重回末世的第一件事就是生吞霸王龙化石,林间漫_,525030,1348,0,https://www.bilibili.com/video/BV1RaVp6dEfe,AI动画 玄幻
20,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516114,1165,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
