排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,【牌子】当世界过分“诚实”，我们要如何保持好奇与勇气【B站AI创作大赛-开放赛道】,DiDi_OK,21311866,1420737,24854,https://www.bilibili.com/video/BV11mFLziEyP,AI动画 仙侠
2,【全30集】即梦+豆包+剪映，2小时快速掌握AI视频制作技巧，手把手教你从0到1制作AI短片！小白适用！学完即接单，带你玩转AI视频赛道！,AI视频教程_,5885150,109240,2565,https://www.bilibili.com/video/BV11NHJzTEbE,AI动画 仙侠
3,一个人，耗时18个月，2万元成本，手搓94分钟以刘慈欣小说《山》为故事原型的AI仿真人完整版科幻内容【ai全民制作人】#SpecialForAAIFF,野生锅导演,3316414,298393,17862,https://www.bilibili.com/video/BV1o74y6XEcM,AI动画 仙侠
4,萌新原创末日故事连载《归墟》1-9【AI全民制作人】,泫九AI,1897195,56471,22917,https://www.bilibili.com/video/BV195KY6YEeY,AI动画 仙侠
5,【绯红回响EP13】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1828316,62272,1967,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
6,【绯红乱世】胆小的千万别点进来，否则……,赤鸢与白狐,1290362,32780,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
7,原创动画《木蘭》第1季 第1集,木蘭MULAN,1210057,112522,3293,https://www.bilibili.com/video/BV1vm8s6GEC3,AI动画 仙侠
8,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,946609,3964,1794,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
9,《贪吃姐弟》擂台大比！,爱神漫剧馆,930838,8160,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
10,60岁大爷手搓20分钟AI长片《赛博英雄传》,六旬老汉赵大爷,719629,83891,2954,https://www.bilibili.com/video/BV1Bng369Ets,AI动画 仙侠
11,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593895,44785,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
12,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,574636,3935,187,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
13,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,517475,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
14,【绯红回响EP08】强敌出现丨小道长遇险【费那奇动画周×updream-AI动画征集】【UP动画】,赤鸢与白狐,436588,14905,664,https://www.bilibili.com/video/BV1EmKG6nETV,AI动画 玄幻
15,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,394770,1770,495,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
16,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,388503,23079,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
17,【保姆级教程】AI动画电影制作，12个作品涨粉50万，手把手教你ComfyUI+豆包+即梦AI玩转AI短剧赛道,AIGC短剧制作教程,386169,13152,336,https://www.bilibili.com/video/BV1MbXaBMEQk,AI动画 仙侠
18,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,367899,21644,783,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
19,【绯红回响EP12】朱雀出现，但大人时代变了【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,366191,20655,427,https://www.bilibili.com/video/BV16qu76VEBF,AI动画 玄幻
20,🔔新番上线🔔《开局万亿诡币，我收购整个诡异世界》重生诡异末世，陈木携万亿诡币归来，提前收购未来顶级诡异资产，招募强者组建势力。从午夜食堂到禁忌场景，他靠先知,咖啡小茶壶,290176,6247,8,https://www.bilibili.com/video/BV1khhb6YEmx,AI动画 玄幻
21,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277747,7575,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
22,【绯红回响EP11】请问道友：遇到雷劫会怎样？【UP动画】,赤鸢与白狐,242744,15934,411,https://www.bilibili.com/video/BV1avGA6FEVj,AI动画 玄幻
23,（完结AI漫剧）山村少年出身平凡，资质平庸，无缘仙途，意外捡到一只拥有复制灵物的神秘黑罐，从此踏上了修仙之路,OP公开平台EN,213635,1664,4156,https://www.bilibili.com/video/BV14BYJ69E6B,AI动画 仙侠
24,【五小时大合集】全民恐怖求生，开局一条狗，装备全靠捡！！！,兔窝儿漫剧,37947,574,592,https://www.bilibili.com/video/BV1DFh16ZEeC,AI动画 仙侠
25,劫缘难避（八个小时超）长大合集一口气看到[完结]高清版！全集未删减一次性放送，超清画质，沉浸式观看,bili_9871746538,12544,170,22,https://www.bilibili.com/video/BV1XNei65EvQ,AI动画 仙侠
26,【全7季加长版】卧槽！这是我看过最演技最好的AI短剧，以后真的不需要真人演员了！！！,帧燃忆漫馆,12459,118,32,https://www.bilibili.com/video/BV1SVh46KEF9,AI动画 仙侠
27,【49小时】开局一个小破盆，开挂修仙终成神！第1～第12季完整版大合集！！,小李看漫剧,11473,163,241,https://www.bilibili.com/video/BV1diaM6aEtC,AI动画 仙侠
28,这是一部AI漫战争历史的天花板了吧？天佑我大明，崇祯我来了！,老何画馆,5344,66,21,https://www.bilibili.com/video/BV1kqYe6DEHs,AI动画 仙侠
29,末日蓝星文明将亡，他得两界穿梭之力，赴泰拉联精灵，为大夏争取远征军开辟新家园！,软卧兔,4134,57,62,https://www.bilibili.com/video/BV1tfh76yEHX,AI动画 仙侠
30,豆包+红果纯手搓一部AI漫剧一个月收获3.1w！附教程！让零基础也能学会AI漫剧制作技巧！更多AI漫剧工具提示词+变现方法及全套教程都整啦！拿走不谢~,LibTV漫剧教程,1880,91,40,https://www.bilibili.com/video/BV1PihW6REjR,AI动画 仙侠
