排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1771481,8886,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1483505,6279,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1442684,9673,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1225987,8460,22,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
5,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1161027,8963,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
6,《阿东修仙传》第一集,Ai-阿东同学,1001066,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
7,全宗门都在偷听我这个杂役的心声,黔佳漫剧,747181,2670,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
8,《修仙之从零开始》,史太郎呼呼,596763,3611,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
9,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,573928,2903,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
10,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,561905,3259,1,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
11,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,494490,3459,152,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
12,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,454035,3046,4,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
13,一言覆星河,波波不关灯,415883,832,0,https://www.bilibili.com/video/BV16Kj26kE9Q,AI漫剧 修仙
14,【AI漫剧】[仙眠录-我的血能炼化万物-01]【UP动画】,雨札,394179,16667,75,https://www.bilibili.com/video/BV1ghNGzEE5B,AI漫剧 修仙
15,《断剑铸长生》大结局|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,386394,2444,8,https://www.bilibili.com/video/BV1ihEv6CEqz,AI漫剧 修仙
16,【科学修仙】被法宝寄生后如何科学修仙...【UP动画】,么鸣堂,370863,15777,523,https://www.bilibili.com/video/BV1rT5e6iEB3,AI漫剧 修仙
17,全能Ai 仙侠副本02,只只说动漫,335889,1080,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
18,AI修仙｜“天上白玉京”,纠结的柠檬君,245975,7491,240,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
19,【绯红回响】谁能想到，两年前她还只是柔弱小师妹【UP动画】,赤鸢与白狐,228754,15086,376,https://www.bilibili.com/video/BV1Nq3s65E1N,AI动画 仙侠
20,全能Ai 仙侠副本20,只只说动漫,201963,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
21,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,189046,5834,189,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
22,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103517,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
23,外国版凡人修仙传！黄枫谷！,姚瑶白白,100625,1728,205,https://www.bilibili.com/video/BV1yMYyzhEpe,AI动画 仙侠
24,“师父，人间烟火真能抚平修行的孤寂吗？” 东方幻想,御赐AI画师,81416,7849,38,https://www.bilibili.com/video/BV1hujB6BE1K,AI动画 仙侠
25,《我是修仙世界里的NPC》楔子5,饺子先生NPC,71725,3516,32,https://www.bilibili.com/video/BV1nPhAzKE8c,AI动画 仙侠
26,外国版凡人修仙！玄骨上人！,姚瑶白白,66581,694,112,https://www.bilibili.com/video/BV1ptYXzDEwt,AI动画 仙侠
27,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,65807,4206,588,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
28,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,65559,695,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
29,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,65003,2777,145,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
30,这家伙 究竟何方神圣,夏雪为萤,64517,2133,191,https://www.bilibili.com/video/BV1AjvQBTE4W,AI动画 仙侠
