排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1860654,9218,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,【绯红回响】谁家的兽耳娘跑出来了？【费那奇动画周×updream-AI动画征集】【up动画】,赤鸢与白狐,1826092,62224,1940,https://www.bilibili.com/video/BV1EVgn6nEmm,AI动画 玄幻
3,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1498445,6302,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
4,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1474746,9701,14,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
5,胆小的千万别点进来，否则……,赤鸢与白狐,1289521,32751,1104,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
6,至亲之人突遭劫难身陷危机，为救亲人，小小幼崽毅然独自下凡踏上寻亲之路。,账号已注销,1233316,8476,23,https://www.bilibili.com/video/BV146MQ6jE5z,AI动画 仙侠
7,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1216795,9223,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
8,《阿东修仙传》第一集,Ai-阿东同学,1001314,3887,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
9,《贪吃姐弟》擂台大比！,爱神漫剧馆,930809,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
10,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,925075,3873,1732,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
11,全宗门都在偷听我这个杂役的心声,黔佳漫剧,778128,2802,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
12,《修仙之从零开始》,史太郎呼呼,617841,3686,50,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
13,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,593212,44779,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
14,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,581155,3318,2,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
15,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,575309,2909,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
16,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,573184,3914,184,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
17,【科学修仙】被法宝寄生后如何科学修仙...【UP动画】ep01,么鸣堂,538511,24142,860,https://www.bilibili.com/video/BV1rT5e6iEB3,AI漫剧 修仙
