排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《逃亡女皇》第一集！女皇逃亡，救助瞎眼剑客！,爱神漫剧馆,1967448,13911,77,https://www.bilibili.com/video/BV1rooQBsEPN,AI动画 玄幻
2,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1023556,31638,884,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
3,《贪吃姐弟》擂台大比！,爱神漫剧馆,921110,1515,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
4,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,794189,3263,1467,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
5,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,589258,44748,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
6,《我真不是霸王龙啊》03|我重回末世的第一件事就是生吞霸王龙化石,林间漫_,520113,1344,0,https://www.bilibili.com/video/BV1RaVp6dEfe,AI动画 玄幻
7,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,515945,1165,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
8,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,385268,1729,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
9,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,383304,23021,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
10,全能Ai 仙侠副本02,只只说动漫,335887,1081,1,https://www.bilibili.com/video/BV1MW4y1x7PQ,AI动画 仙侠
11,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,313817,19543,693,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
12,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277089,7569,120,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
13,AI修仙｜“天上白玉京”,纠结的柠檬君,230122,7303,230,https://www.bilibili.com/video/BV1HVUCBVEcd,AI动画 仙侠
14,“我希望能创造出一片万族共存的天地” 玄幻世界,御赐AI画师,209362,9072,287,https://www.bilibili.com/video/BV15sJNzgERE,AI动画 玄幻
15,全能Ai 仙侠副本20,只只说动漫,201957,456,0,https://www.bilibili.com/video/BV1qA411R72W,AI动画 仙侠
16,暂停挑战！韩立与谁双修成功？与王婵一次成功，祝你修仙路上一路长虹  #创作灵感 #凡人修仙传 #暂停挑战 本视频部分内容由AI工作辅助制作,说书人阿阵,196260,26880,763,https://www.bilibili.com/video/BV1AsAdzsEy1,AI动画 玄幻
17,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,182150,5762,181,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 玄幻
18,《凡人修仙传》第三季杨洋版韩立结婴，影视级自制AI动画，,风行映画VFX-AI,182150,5762,181,https://www.bilibili.com/video/BV1FmpQzQE4f,AI动画 仙侠
19,有ai就是不用心？中肯评价牧神记！【国动万象】,碎辰_,172067,1522,488,https://www.bilibili.com/video/BV1SPS1YrEnc,AI动画 玄幻
20,以彼之道还施彼身 全能Ai仙侠副本21,只只说动漫,103511,256,0,https://www.bilibili.com/video/BV1vY411X7g2,AI动画 仙侠
21,原创仙侠动画｜《老奴魂  霓裳躯》第一集 夺舍圣女 褪凡入仙,宋玉的小挂件,60408,667,20,https://www.bilibili.com/video/BV1Q6cqzCEAK,AI动画 仙侠
22,【MBTI群像动画】仙侠篇《云隐录》——第一集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,60106,2679,141,https://www.bilibili.com/video/BV15Pr9ByEuy,AI动画 仙侠
23,八荒曲：永宁州篇丨第一集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,55278,3223,518,https://www.bilibili.com/video/BV1ucFbzLEgF,AI动画 仙侠
24,凡人修仙传 自制ai动画 青元子自传,梦境旅行社,53508,2248,23,https://www.bilibili.com/video/BV1bddRYJEnB,AI动画 仙侠
25,自制AI动画 凡人修仙传 莫简离 灵界人族唯一大乘,梦境旅行社,52434,2160,12,https://www.bilibili.com/video/BV1KEu4ztErX,AI动画 仙侠
26,【MBTI群像动画】仙侠篇《云隐录》——第二集｜｜【B站AI创作大赛-开放赛道】,青瓜蛋丶,49765,2184,283,https://www.bilibili.com/video/BV1TU68BYEgg,AI动画 仙侠
27,【一门双至尊】-第二季合集（上）,阿珂不是刺客,44154,1518,233,https://www.bilibili.com/video/BV1KXRXBFEPV,AI动画 仙侠
28,八荒曲：永宁州篇丨第二集丨鬼谷八荒同人动画丨【B站AI创作大赛-开放赛道】,L大叔与猫,38447,2248,518,https://www.bilibili.com/video/BV1KtZ4BwEPt,AI动画 仙侠
29,八荒曲：永宁州篇丨第三集丨鬼谷八荒同人动画丨UP一人肝番剧丨啊？这个女魔修是恋爱脑？,L大叔与猫,36793,1835,531,https://www.bilibili.com/video/BV1DLwMzwERN,AI动画 仙侠
30,AI猫咪动画版《蜀山传》致敬经典仙侠玄幻,AI胖橘金钰林,36536,680,44,https://www.bilibili.com/video/BV1hgvWBqEju,AI动画 仙侠
