排名,标题,作者,播放量,点赞,弹幕,链接,搜索词
1,《断剑铸长生》第二集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1641529,8376,2,https://www.bilibili.com/video/BV1c7E96KE4m,AI漫剧 修仙
2,《晚归九霄巅》第一集|我和小师妹一同穿越到了这修仙界，在逆天机缘下，我们千年内修成唯二的金丹修士,阿林动漫_,1459083,6241,6,https://www.bilibili.com/video/BV1DFjn6DEgv,AI漫剧 修仙
3,《一笼镇乾坤》第一集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,1404273,9636,13,https://www.bilibili.com/video/BV1JTVq6gE6s,AI漫剧 修仙
4,胆小的千万别点进来，否则……【AI偶像】,赤鸢与白狐,1260541,32620,1102,https://www.bilibili.com/video/BV1XmdgBxEMM,AI动画 玄幻
5,《断剑铸长生》第一集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,1050956,8389,1,https://www.bilibili.com/video/BV1STE56zE4Y,AI漫剧 修仙
6,《阿东修仙传》第一集,Ai-阿东同学,989290,3843,1,https://www.bilibili.com/video/BV1BNLP6JEoN,AI漫剧 修仙
7,《贪吃姐弟》擂台大比！,爱神漫剧馆,930731,1549,19,https://www.bilibili.com/video/BV1NUDZBYECc,AI动画 玄幻
8,50集全！牧神记一口气看完！牧天尊迈出新手村，黄金宫副本开启！,爱做梦の小谭,884277,3684,1658,https://www.bilibili.com/video/BV1K2n3zVEEP,AI动画 玄幻
9,全宗门都在偷听我这个杂役的心声,黔佳漫剧,651334,2364,0,https://www.bilibili.com/video/BV1tWdUB4Ers,AI漫剧 修仙
10,“师父，你说人界是个怎样的世界啊？” 中式玄幻-【AI动画叙事影片】,御赐AI画师,591828,44766,446,https://www.bilibili.com/video/BV1DDNizQE9c,AI动画 玄幻
11,《一笼镇乾坤》第四集|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,571279,2889,10,https://www.bilibili.com/video/BV1Ca7Z6EELi,AI漫剧 修仙
12,末法时代摆摊招美女，一晚一枚灵石，美女越多修为越强！,乘壹说书,570502,3886,180,https://www.bilibili.com/video/BV14hQGB3ETc,AI动画 玄幻
13,《修仙之从零开始》,史太郎呼呼,568442,3453,49,https://www.bilibili.com/video/BV1dXPiz4Eks,AI漫剧 修仙
14,《断剑铸长生》第四集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,521478,3069,1,https://www.bilibili.com/video/BV1c7E96KEuT,AI漫剧 修仙
15,百岁老人大限降至，竟觉醒出传说中的天灵根,小羊漫馆,516938,1167,0,https://www.bilibili.com/video/BV1tkDWBzETq,AI动画 玄幻
16,《断剑铸长生》第三集|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,426643,2906,2,https://www.bilibili.com/video/BV1F7E96KEtW,AI漫剧 修仙
17,做点观众想看的！手搓熊人修仙传重制版？,叫我呱唧君,401598,3151,152,https://www.bilibili.com/video/BV1pgdpBgE1k,AI漫剧 修仙
18,【牧神记】一口气看完！高分暗黑玄幻动画！大墟少年成神之路！,爱做梦の小谭,389955,1752,489,https://www.bilibili.com/video/BV1KekHYEEgH,AI动画 玄幻
19,“师父，开封下面真的有鬼市吗？” 玄幻世界,御赐AI画师,386056,23058,180,https://www.bilibili.com/video/BV1P57kzREXk,AI动画 玄幻
20,【AI漫剧】[仙眠录-我的血能炼化万物-01]【UP动画】,雨札,384849,16363,75,https://www.bilibili.com/video/BV1ghNGzEE5B,AI漫剧 修仙
21,《一笼镇乾坤》大结局|我明明挥挥手能把修仙大能轻易打跑，却只能在十字街头卖点包子水饺,阿林动漫_,358726,1978,5,https://www.bilibili.com/video/BV1Aa7Z6EEFP,AI漫剧 修仙
22,原创AI漫剧《恶仙》 第二回：诸天倾塌妖门开，万恶噬生炼狱来,众乐乐漫剧场,353203,21158,761,https://www.bilibili.com/video/BV18KAhzbE7C,AI动画 玄幻
23,《断剑铸长生》大结局|卡在筑基期三十年的师尊突然发现，平日里连剑都拿不稳的我，竟然是修仙界百年难遇的无上剑修,阿林动漫_,351676,2268,7,https://www.bilibili.com/video/BV1ihEv6CEqz,AI漫剧 修仙
24,一言覆星河,波波不关灯,344652,727,0,https://www.bilibili.com/video/BV16Kj26kE9Q,AI漫剧 修仙
25,12生肖老魔，看后大悟，老鼠能成第一是有点东西的,AI疯人院,277330,7572,121,https://www.bilibili.com/video/BV1Xv421v7Ux,AI动画 玄幻
